Pulgarcito 04 (23 marz 1981)|pag34-45|" Bermudillo, el genio del hatillo ""El médico malvado"" (4º episodio)"|||
Pulgarcito 04 (23 marz 1981)|pag46-49| Anibal (sin titulo)|||
Pulgarcito 04 (23 marz 1981)|pag46-49| Anibal (sin titulo)|||
Pulgarcito 04 (23 marz 1981)|pag50| pasatiempos (P.tragacanto)|||
Pulgarcito 04 (23 marz 1981)|pag50| pasatiempos (P.tragacanto)|||
Pulgarcito 04 (23 marz 1981)|pag51-58 | Tete Cohete (sin titulo) 27365|||
Pulgarcito 04 (23 marz 1981)|pag51-58 | Tete Cohete (sin titulo) 27365|||
Pulgarcito 04 (23 marz 1981)|pag59| pasatiempos (tete cohete) 27174|||
Pulgarcito 04 (23 marz 1981)|pag59| pasatiempos (tete cohete) 27174|||
Pulgarcito 04 (23 marz 1981)|pag60-67| Los pitufos (sin titulo)|||
Pulgarcito 04 (23 marz 1981)|pag60-67| Los pitufos (sin titulo)|||
Pulgarcito 04 (23 marz 1981)|pag68-71| El Profesor Tragacanto (sin titulo)|||
Pulgarcito 04 (23 marz 1981)|pag68-71| El Profesor Tragacanto (sin titulo)|||
Pulgarcito 04 (23 marz 1981)|pag72-82|" Pablito ""Una nueva casa"" 105512"|||
Pulgarcito 04 (23 marz 1981)|pag72-82|" Pablito ""Una nueva casa"" 105512"|||
Pulgarcito 04 (23 marz 1981)|pag83| pasatiempos (pulgarcito) 27323|||
Pulgarcito 04 (23 marz 1981)|pag83| pasatiempos (pulgarcito) 27323|||
Pulgarcito 04 (23 marz 1981)|pag84-85| Lanitas (sin titulo) 24556|||
Pulgarcito 04 (23 marz 1981)|pag84-85| Lanitas (sin titulo) 24556|||
Pulgarcito 04 (23 marz 1981)|pag86-98|Tom y Jerry (sin titulo) 106464|||
Pulgarcito 04 (23 marz 1981)|pag86-98|Tom y Jerry (sin titulo) 106464|||
Pulgarcito 04 (23 marz 1981)|pag99| pasatiempos (tete cohete) ??170|||
Pulgarcito 04 (23 marz 1981)|pag99| pasatiempos (tete cohete) ??170|||
Pulgarcito 04 (23 marz 1981)|Portada | Pitufos 2718?|||
Pulgarcito 04 (23 marz 1981)|Portada | Pitufos 2718?|||
Pulgarcito 07 (13 abril 1981)|pag02| pasatiempos (pitufos) y cuadro de revista|||
Pulgarcito 07 (13 abril 1981)|pag02| pasatiempos (pitufos) y cuadro de revista|||
Pulgarcito 07 (13 abril 1981)|pag03-14|" Pulgarcito ""Brontosaurio"" 27570"|||
Pulgarcito 07 (13 abril 1981)|pag03-14|" Pulgarcito ""Brontosaurio"" 27570"|||
Pulgarcito 07 (13 abril 1981)|pag100| Publicidad Pulgarcito (pitufos)|||
Pulgarcito 07 (13 abril 1981)|pag100| Publicidad Pulgarcito (pitufos)|||
Pulgarcito 07 (13 abril 1981)|pag15| Chiste (parece Nero) 27580|||
Pulgarcito 07 (13 abril 1981)|pag15| Chiste (parece Nero) 27580|||
Pulgarcito 07 (13 abril 1981)|pag16| pasatiempos (tete cohete) 27226|||
Pulgarcito 07 (13 abril 1981)|pag16| pasatiempos (tete cohete) 27226|||
Pulgarcito 07 (13 abril 1981)|pag17-29| Tom y Jerry (sin titulo) 106529|||
Pulgarcito 07 (13 abril 1981)|pag17-29| Tom y Jerry (sin titulo) 106529|||
Pulgarcito 07 (13 abril 1981)|pag30| Chiste (parece Nero) 27579|||
Pulgarcito 07 (13 abril 1981)|pag30| Chiste (parece Nero) 27579|||
Pulgarcito 07 (13 abril 1981)|pag31| pasatiempos (tete cohete) 27231|||
Pulgarcito 07 (13 abril 1981)|pag31| pasatiempos (tete cohete) 27231|||
Pulgarcito 07 (13 abril 1981)|pag32-39| Los pitufos (sin titulo) 27480|||
Pulgarcito 07 (13 abril 1981)|pag32-39| Los pitufos (sin titulo) 27480|||
Pulgarcito 07 (13 abril 1981)|pag40-41| Lanitas (sin titulo) 27478|||
Pulgarcito 07 (13 abril 1981)|pag40-41| Lanitas (sin titulo) 27478|||
Pulgarcito 07 (13 abril 1981)|pag42-44| Tom y Jerry (sin titulo) 106532|||
Pulgarcito 07 (13 abril 1981)|pag42-44| Tom y Jerry (sin titulo) 106532|||
Pulgarcito 07 (13 abril 1981)|pag45| pasatiempos (pulgarcito) 27418|||
Pulgarcito 07 (13 abril 1981)|pag45| pasatiempos (pulgarcito) 27418|||
Pulgarcito 07 (13 abril 1981)|pag46-49| El Profesor Tragacanto (sin titulo)|||
Pulgarcito 07 (13 abril 1981)|pag46-49| El Profesor Tragacanto (sin titulo)|||
Pulgarcito 07 (13 abril 1981)|pag50-57 | Tete Cohete (sin titulo) 27651|||
Pulgarcito 07 (13 abril 1981)|pag50-57 | Tete Cohete (sin titulo) 27651|||
Pulgarcito 07 (13 abril 1981)|pag58| Orejito 106540|||
Pulgarcito 07 (13 abril 1981)|pag58| Orejito 106540|||
Pulgarcito 07 (13 abril 1981)|pag59| pasatiempos (tete cohete) 27330|||
Pulgarcito 07 (13 abril 1981)|pag59| pasatiempos (tete cohete) 27330|||
Pulgarcito 07 (13 abril 1981)|pag60-66|" Pablito ""¡A lavar platos!"""|||
Pulgarcito 07 (13 abril 1981)|pag60-66|" Pablito ""¡A lavar platos!"""|||
Pulgarcito 07 (13 abril 1981)|pag67-78|" Héctor ""Heroes Revoltosos"" (3º episodio)"|||
Pulgarcito 07 (13 abril 1981)|pag67-78|" Héctor ""Heroes Revoltosos"" (3º episodio)"|||
Pulgarcito 07 (13 abril 1981)|pag79| pasatiempos (tete cohete) 27320|||
Pulgarcito 07 (13 abril 1981)|pag79| pasatiempos (tete cohete) 27320|||
Pulgarcito 07 (13 abril 1981)|pag80-83| Anibal (sin titulo)|||
Pulgarcito 07 (13 abril 1981)|pag80-83| Anibal (sin titulo)|||
Pulgarcito 07 (13 abril 1981)|pag84| pasatiempos (Pulgarcito) 27323|||
Pulgarcito 07 (13 abril 1981)|pag84| pasatiempos (Pulgarcito) 27323|||
Pulgarcito 07 (13 abril 1981)|pag85| Nero (sin titulo)|||
Pulgarcito 07 (13 abril 1981)|pag85| Nero (sin titulo)|||
Pulgarcito 07 (13 abril 1981)|pag86-98|" Tom y Jerry ""La ratonera perfecta"" 106557"|||
Pulgarcito 07 (13 abril 1981)|pag86-98|" Tom y Jerry ""La ratonera perfecta"" 106557"|||
Pulgarcito 07 (13 abril 1981)|pag99| pasatiempos (tete cohete) 27327|||
Pulgarcito 07 (13 abril 1981)|pag99| pasatiempos (tete cohete) 27327|||
Pulgarcito 07 (13 abril 1981)|Portada | Tom y Jerry|||
Pulgarcito 07 (13 abril 1981)|Portada | Tom y Jerry|||
Pulgarcito 08 (20 abril 1981)|pag02| pasatiempos (pulgarcito) 27420 y cuadro de revista|||
Pulgarcito 08 (20 abril 1981)|pag02| pasatiempos (pulgarcito) 27420 y cuadro de revista|||
Pulgarcito 08 (20 abril 1981)|pag03-10|" Pulgarcito ""El bocadillo"" 27587"|||
Pulgarcito 08 (20 abril 1981)|pag03-10|" Pulgarcito ""El bocadillo"" 27587"|||
Pulgarcito 08 (20 abril 1981)|pag100| Publicidada Pulgarcito (pulgarcito) 27230|||
Pulgarcito 08 (20 abril 1981)|pag100| Publicidada Pulgarcito (pulgarcito) 27230|||
Pulgarcito 08 (20 abril 1981)|pag11-16|" Pablito ""La cometa"" 105520"|||
Pulgarcito 08 (20 abril 1981)|pag11-16|" Pablito ""La cometa"" 105520"|||
Pulgarcito 08 (20 abril 1981)|pag17| pasatiempos (tete cohete) 27414|||
Pulgarcito 08 (20 abril 1981)|pag17| pasatiempos (tete cohete) 27414|||
Pulgarcito 08 (20 abril 1981)|pag18-30|" Tom y Jerry ""Buenos consejos"" 106543"|||
Pulgarcito 08 (20 abril 1981)|pag18-30|" Tom y Jerry ""Buenos consejos"" 106543"|||
Pulgarcito 08 (20 abril 1981)|pag31| pasatiempos (tete cohete) 27403|||
Pulgarcito 08 (20 abril 1981)|pag31| pasatiempos (tete cohete) 27403|||
Pulgarcito 08 (20 abril 1981)|pag32-39| Los pitufos (sin titulo) 27532|||
Pulgarcito 08 (20 abril 1981)|pag32-39| Los pitufos (sin titulo) 27532|||
Pulgarcito 08 (20 abril 1981)|pag40| Orejito|||
Pulgarcito 08 (20 abril 1981)|pag40| Orejito|||
Pulgarcito 08 (20 abril 1981)|pag41| pasatiempos (tete cohete) 27419|||
Pulgarcito 08 (20 abril 1981)|pag41| pasatiempos (tete cohete) 27419|||
Pulgarcito 08 (20 abril 1981)|pag42-46 |" La ardilla Rilla ""Viaje a la luna"" 106533"|||
